MODEL,OA_DATE,ITEM_CODE,QTY,UNIT_PRICE,BASIC_VALUE,ITEM_DESCRIPTION
ACR SPARES,2021-11-23,082.04.030.50.,6.0,1348.0,8088.0,BEARING BUSH BIG END CON ROD KC/KCX
ACR SPARES,2021-11-23,082.08.000.50.,5.0,5901.0,29505.0,SHAFT SEAL ASSEMBLY KC/KCX
ACR SPARES,2021-11-23,336.40.401.50.,10.0,6162.0,61620.0,CYLINDER LINER KC/KCX
ACR SPARES,2021-11-23,082.04.030.50.,30.0,1348.0,40440.0,BEARING BUSH BIG END CON ROD KC/KCX
ACR SPARES,2021-11-23,082.04.030.50.,30.0,1348.0,40440.0,BEARING BUSH BIG END CON ROD KC/KCX
ACR SPARES,2021-11-23,082.04.030.50.,15.0,1348.0,20220.0,BEARING BUSH BIG END CON ROD KC/KCX
ACR SPARES,2021-11-23,082.08.000.50.,5.0,5901.0,29505.0,SHAFT SEAL ASSEMBLY KC/KCX
ACR SPARES,2021-11-23,082.04.030.50.,6.0,1348.0,8088.0,BEARING BUSH BIG END CON ROD KC/KCX
ACR SPARES,2021-11-23,082.08.000.50.,10.0,5901.0,59010.0,SHAFT SEAL ASSEMBLY KC/KCX
ACR SPARES,2021-11-24,993.00.311.00.,50.0,116.0,5800.0,GASKET SUCT STRAINER & SIDE COVER KC/KCX
ACR SPARES,2021-11-24,082.03.110.50.,6.0,2830.0,16980.0,PISTON KC/KCX
ACR SPARES,2021-11-24,082.04.030.50.,7.0,1348.0,9436.0,BEARING BUSH BIG END CON ROD KC/KCX
ACR SPARES,2021-11-24,336.40.401.50.,1.0,6162.0,6162.0,CYLINDER LINER KC/KCX
ACR SPARES,2021-11-24,082.08.000.50.,10.0,5901.0,59010.0,SHAFT SEAL ASSEMBLY KC/KCX
ACR SPARES,2021-11-24,336.40.401.50.,4.0,6162.0,24648.0,CYLINDER LINER KC/KCX
ACR SPARES,2021-11-25,082.03.110.50.,12.0,2830.0,33960.0,PISTON KC/KCX
ACR SPARES,2021-11-25,336.40.401.50.,12.0,6162.0,73944.0,CYLINDER LINER KC/KCX
ACR SPARES,2021-11-25,082.04.030.50.,10.0,1348.0,13480.0,BEARING BUSH BIG END CON ROD KC/KCX
ACR SPARES,2021-11-25,082.08.000.50.,5.0,5901.0,29505.0,SHAFT SEAL ASSEMBLY KC/KCX
ACR SPARES,2021-11-26,082.03.110.50.,15.0,2830.0,42450.0,PISTON KC/KCX
ACR SPARES,2021-11-26,336.40.401.50.,5.0,6162.0,30810.0,CYLINDER LINER KC/KCX
ACR SPARES,2021-11-26,082.08.000.50.,5.0,5901.0,29505.0,SHAFT SEAL ASSEMBLY KC/KCX
ACR SPARES,2021-11-26,336.40.401.50.,5.0,6162.0,30810.0,CYLINDER LINER KC/KCX
ACR SPARES,2021-11-26,082.04.030.50.,20.0,1348.0,26960.0,BEARING BUSH BIG END CON ROD KC/KCX
ACR SPARES,2021-11-26,082.03.110.50.,6.0,2830.0,16980.0,PISTON KC/KCX
ACR SPARES,2021-11-26,993.00.311.00.,50.0,116.0,5800.0,GASKET SUCT STRAINER & SIDE COVER KC/KCX
ACR SPARES,2021-11-27,336.40.401.50.,60.0,6162.0,369720.0,CYLINDER LINER KC/KCX
ACR SPARES,2021-11-27,082.04.030.50.,20.0,1348.0,26960.0,BEARING BUSH BIG END CON ROD KC/KCX
ACR SPARES,2021-11-27,082.03.110.50.,60.0,2830.0,169800.0,PISTON KC/KCX
ACR SPARES,2021-11-29,082.04.030.50.,15.0,1348.0,20220.0,BEARING BUSH BIG END CON ROD KC/KCX
ACR SPARES,2021-11-30,082.08.000.50.,20.0,5901.0,118020.0,SHAFT SEAL ASSEMBLY KC/KCX
ACR SPARES,2021-11-30,082.04.030.50.,30.0,1348.0,40440.0,BEARING BUSH BIG END CON ROD KC/KCX
ACR SPARES,2021-11-30,082.08.000.50.,5.0,5901.0,29505.0,SHAFT SEAL ASSEMBLY KC/KCX
ACR SPARES,2021-11-30,082.03.110.50.,24.0,2830.0,67920.0,PISTON KC/KCX
ACR SPARES,2021-11-30,336.40.401.50.,24.0,6162.0,147888.0,CYLINDER LINER KC/KCX
ACR SPARES,2021-11-30,082.04.030.50.,24.0,1348.0,32352.0,BEARING BUSH BIG END CON ROD KC/KCX
ACR SPARES,2021-11-30,082.03.110.50.,133.0,2830.0,376390.0,PISTON KC/KCX
ACR SPARES,2021-11-30,082.08.000.50.,5.0,5901.0,29505.0,SHAFT SEAL ASSEMBLY KC/KCX
ACR SPARES,2021-11-30,993.00.311.00.,26.0,116.0,3016.0,GASKET SUCT STRAINER & SIDE COVER KC/KCX
ACR SPARES,2021-11-30,082.08.000.50.,20.0,5901.0,118020.0,SHAFT SEAL ASSEMBLY KC/KCX
ACR SPARES,2021-11-30,082.04.030.50.,50.0,1348.0,67400.0,BEARING BUSH BIG END CON ROD KC/KCX
ACR SPARES,2021-11-30,336.40.401.50.,22.0,6162.0,135564.0,CYLINDER LINER KC/KCX
ACR SPARES,2021-11-30,082.03.110.50.,50.0,2830.0,141500.0,PISTON KC/KCX
ACR SPARES,2021-11-30,993.00.311.00.,75.0,82.0,6150.0,GASKET SUCT STRAINER & SIDE COVER KC/KCX
ACR SPARES,2021-11-30,082.08.000.50.,17.0,5901.0,100317.0,SHAFT SEAL ASSEMBLY KC/KCX
ACR SPARES,2021-11-30,082.04.030.50.,50.0,1348.0,67400.0,BEARING BUSH BIG END CON ROD KC/KCX
ACR SPARES,2021-11-30,082.04.030.50.,30.0,1348.0,40440.0,BEARING BUSH BIG END CON ROD KC/KCX
ACR SPARES,2021-11-30,993.00.311.00.,100.0,82.0,8200.0,GASKET SUCT STRAINER & SIDE COVER KC/KCX
ACR SPARES,2021-11-30,082.03.110.50.,17.0,2830.0,48110.0,PISTON KC/KCX
ACR SPARES,2021-11-30,336.40.401.50.,10.0,6162.0,61620.0,CYLINDER LINER KC/KCX
ACR SPARES,2021-11-30,082.04.030.50.,10.0,1348.0,13480.0,BEARING BUSH BIG END CON ROD KC/KCX
ACR SPARES,2021-11-30,336.40.401.50.,79.0,6162.0,486798.0,CYLINDER LINER KC/KCX
ACR SPARES,2021-11-30,336.40.401.50.,71.0,6162.0,437502.0,CYLINDER LINER KC/KCX
ACR SPARES,2021-11-30,336.40.401.50.,28.0,6162.0,172536.0,CYLINDER LINER KC/KCX
ACR SPARES,2021-11-30,082.03.110.50.,12.0,2830.0,33960.0,PISTON KC/KCX
ACR SPARES,2021-11-30,082.03.110.50.,20.0,2830.0,56600.0,PISTON KC/KCX
ACR SPARES,2021-11-30,082.03.110.50.,5.0,2830.0,14150.0,PISTON KC/KCX
ACR SPARES,2021-11-30,082.08.000.50.,10.0,5901.0,59010.0,SHAFT SEAL ASSEMBLY KC/KCX
ACR SPARES,2021-11-30,082.04.030.50.,10.0,1348.0,13480.0,BEARING BUSH BIG END CON ROD KC/KCX
ACR SPARES,2021-11-30,082.08.000.50.,5.0,5901.0,29505.0,SHAFT SEAL ASSEMBLY KC/KCX
ACR SPARES,2021-11-30,993.00.311.00.,100.0,82.0,8200.0,GASKET SUCT STRAINER & SIDE COVER KC/KCX
ACR SPARES,2021-11-30,082.03.110.50.,10.0,2830.0,28300.0,PISTON KC/KCX
ACR SPARES,2021-12-01,336.40.401.50.,5.0,6162.0,30810.0,CYLINDER LINER KC/KCX
ACR SPARES,2021-12-01,082.04.030.50.,8.0,1348.0,10784.0,BEARING BUSH BIG END CON ROD KC/KCX
ACR SPARES,2021-12-01,082.04.030.50.,15.0,1348.0,20220.0,BEARING BUSH BIG END CON ROD KC/KCX
ACR SPARES,2021-12-01,082.04.030.50.,1.0,1348.0,1348.0,BEARING BUSH BIG END CON ROD KC/KCX
ACR SPARES,2021-12-02,082.04.030.50.,6.0,1348.0,8088.0,BEARING BUSH BIG END CON ROD KC/KCX
ACR SPARES,2021-12-02,082.03.110.50.,5.0,2830.0,14150.0,PISTON KC/KCX
ACR SPARES,2021-12-02,082.04.030.50.,10.0,1348.0,13480.0,BEARING BUSH BIG END CON ROD KC/KCX
ACR SPARES,2021-12-02,082.08.000.50.,5.0,5901.0,29505.0,SHAFT SEAL ASSEMBLY KC/KCX
ACR SPARES,2021-12-02,082.04.030.50.,6.0,1348.0,8088.0,BEARING BUSH BIG END CON ROD KC/KCX
ACR SPARES,2021-12-02,082.03.110.50.,10.0,2830.0,28300.0,PISTON KC/KCX
ACR SPARES,2021-12-02,082.04.030.50.,6.0,1348.0,8088.0,BEARING BUSH BIG END CON ROD KC/KCX
ACR SPARES,2021-12-02,082.08.000.50.,2.0,5901.0,11802.0,SHAFT SEAL ASSEMBLY KC/KCX
ACR SPARES,2021-12-02,336.40.401.50.,3.0,6162.0,18486.0,CYLINDER LINER KC/KCX
ACR SPARES,2021-12-02,082.08.000.50.,5.0,5901.0,29505.0,SHAFT SEAL ASSEMBLY KC/KCX
ACR SPARES,2021-12-02,336.40.401.50.,5.0,6162.0,30810.0,CYLINDER LINER KC/KCX
ACR SPARES,2021-12-03,082.04.030.50.,30.0,1348.0,40440.0,BEARING BUSH BIG END CON ROD KC/KCX
ACR SPARES,2021-12-03,082.03.110.50.,8.0,2830.0,22640.0,PISTON KC/KCX
ACR SPARES,2021-12-03,082.08.000.50.,5.0,5901.0,29505.0,SHAFT SEAL ASSEMBLY KC/KCX
ACR SPARES,2021-12-03,084.19.001.50.,2.0,3261.0,6522.0,GASKET SET KC4
ACR SPARES,2021-12-03,082.03.110.50.,10.0,2830.0,28300.0,PISTON KC/KCX
ACR SPARES,2021-12-03,993.00.311.00.,10.0,116.0,1160.0,GASKET SUCT STRAINER & SIDE COVER KC/KCX
ACR SPARES,2021-12-03,082.08.000.50.,10.0,5901.0,59010.0,SHAFT SEAL ASSEMBLY KC/KCX
ACR SPARES,2021-12-04,082.03.110.50.,5.0,2830.0,14150.0,PISTON KC/KCX
